sku,product_name,category,branch,stock_units,aging_days,sales_last_30_days,reorder_level,supplier_lead_time_days,unit_cost_inr,last_receipt_date,preferred_supplier,reserved_for_contract_customer
OFF-PAPER-R01,Premium Recycled A4 Paper Reams,Office Supplies,Mumbai,1200,18,480,200,3,320,2026-05-06,PaperMill India Pvt Ltd,No
PNTR-COFFEE-02,Arabica Ground Coffee 500g,Pantry Supplies,Bangalore,18,22,96,25,5,750,2026-05-02,NorthBrew Supplies,Yes
CLN-FLOOR-01,Industrial Floor Cleaner 5L,Cleaning Supplies,Delhi,85,35,40,30,4,580,2026-04-19,CleanCore Distributors,No
ELEC-KB-BT-04,Wireless Bluetooth Keyboard,Electronics,Mumbai,42,9,28,15,7,1850,2026-05-15,TechLink Wholesale,No
ERG-CHAIR-EX5,Executive Ergonomic Chair,Furniture,Bangalore,11,54,6,5,14,12500,2026-03-31,WorkFlex Interiors,Yes
PNTR-TEA-GRN-03,Green Tea Bags Box 100pc,Pantry Supplies,Hyderabad,160,28,65,40,4,420,2026-04-26,NorthBrew Supplies,No
CLN-DISINF-02,Surface Disinfectant Spray 750ml,Cleaning Supplies,Mumbai,320,12,210,80,3,295,2026-05-12,CleanCore Distributors,No
OFF-TONER-HP01,HP LaserJet Toner Cartridge Black,Office Supplies,Delhi,8,41,22,12,6,3200,2026-04-13,PrintSolutions Delhi,No
FAC-TOILROLL-01,Recycled Toilet Rolls Pack 12,Facility Consumables,Bangalore,540,7,310,120,2,185,2026-05-17,FacilPro Supplies,No
ELEC-USB-CA-07,USB-A to USB-C Cable 1.5m,Electronics,Delhi,74,151,0,20,7,280,2025-12-31,TechLink Wholesale,No
ERG-FTRST-03,Ergonomic Footrest Adjustable,Furniture,Hyderabad,19,106,4,8,14,2100,2026-01-08,WorkFlex Interiors,No
CLN-MOP-HD-02,Heavy Duty Mop with Wringer,Cleaning Supplies,Mumbai,28,63,9,10,5,1350,2026-03-21,CleanCore Distributors,No
PNTR-SUGAR-01,Refined Sugar 1kg Pack,Pantry Supplies,Delhi,380,14,180,100,3,85,2026-05-10,FoodHub Suppliers,No
OFF-STPLR-01,Heavy Duty Stapler 24/6,Office Supplies,Bangalore,55,88,7,15,7,650,2026-02-26,OfficeMart Wholesale,No
FAC-AIRFRESH-02,Automatic Air Freshener Dispenser,Facility Consumables,Mumbai,90,33,35,20,5,1100,2026-04-21,FacilPro Supplies,No
ELEC-WEBCAM-03,HD Webcam 1080p USB,Electronics,Bangalore,6,47,18,10,7,2800,2026-04-07,TechLink Wholesale,No
OFF-BIND-A4-01,A4 Ring Binder 50mm,Office Supplies,Hyderabad,230,22,55,50,4,220,2026-05-02,OfficeMart Wholesale,No
CLN-GLOVES-L-01,Disposable Nitrile Gloves Large Box 100,Cleaning Supplies,Delhi,65,8,85,50,3,480,2026-05-16,CleanCore Distributors,Yes
PNTR-CUPS-D-01,Disposable Paper Cups 200ml Pack 100,Pantry Supplies,Mumbai,450,19,230,100,3,165,2026-05-05,FoodHub Suppliers,No
